Question,Answer
Who may issue a warrant for a search of postal or telegraph authority documents under Section 93?,Only a District Magistrate or Chief Judicial Magistrate may grant such a warrant.
Who can authorize the search of a place suspected to contain stolen property or objectionable articles under Section 94?,"A District Magistrate, Sub-divisional Magistrate, or Magistrate of the first class may authorize the search."
What can a police officer do when authorized under Section 94?,"Enter and search the place, take possession of suspected items, present them before a Magistrate or guard them, and take into custody any person involved."
What are considered objectionable articles under Section 94(2)?,"Counterfeit coins, unauthorized metal pieces, counterfeit currency, forged documents, false seals, obscene objects, and instruments for their production."
What power does the State Government have under Section 95?,"The State Government can declare certain publications forfeited if they contain punishable matter under IPC sections like 124A, 153A, 292, 295A, etc."
What can a police officer do once a publication is declared forfeited under Section 95?,"Seize the publication and, under a Magistrate's warrant, search for such copies on any premises."
What definitions are clarified in Section 95(2)?,"""Newspaper"" and ""book"" follow the Press and Registration of Books Act, and ""document"" includes visible representations."
Can actions under Section 95 be challenged in court?,"No, they can only be challenged through provisions under Section 96."
Who can apply to the High Court to set aside a declaration of forfeiture under Section 96?,"Any person with an interest in the newspaper, book, or document, within two months of the Gazette publication."
What must the High Court be satisfied with to set aside a forfeiture under Section 96(4)?,That the publication did not contain the punishable material mentioned in Section 95.
Who issues a search-warrant for a person wrongfully confined under Section 97?,"A District Magistrate, Sub-divisional Magistrate, or Magistrate of the first class."
What action is taken if a person is found to be wrongfully confined under Section 97?,They are to be taken before a Magistrate immediately for appropriate action.
What does Section 98 empower a Magistrate to do in case of abduction of a female or a female child?,Order the immediate restoration to liberty or custody and compel compliance.
To whom does Section 99 apply regarding the direction of search-warrants?,It applies provisions of other sections to search-warrants under Sections 93â97.
What are the rights of a person in charge of a closed place under Section 100?,They must allow entry and provide facilities for the search upon warrant production.
